manifest_index,project_id,project,tool,repetition,execution_status,terminal,returncode,attempt,started_at,ended_at,error_class,error_excerpt,source_run_dir,reservation_depth,canonical_state_present
0,crust__2dpartint,2dpartint,crust,0,completed,True,0,1,2026-08-05T17:19:29.645390Z,2026-08-05T20:50:34.385274Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__2dpartint/rep0,0,True
0,crust__2dpartint,2dpartint,crust,1,completed,True,0,1,2026-08-05T18:11:25.414655Z,2026-08-05T21:59:14.772719Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__2dpartint/rep1,0,True
0,crust__2dpartint,2dpartint,crust,2,failed,True,1,1,2026-08-05T18:11:25.414284Z,2026-08-05T21:22:16.220283Z,,"pipeline/burr.db [codeweaver] loaded state at startup: milestone_idx=0 history_len=0 (idx>0 => resumed, not restarted) [codeweaver] finished at terminal: done, history, milestone_idx, report, parity_complete, parity_report -> {}: done=False milestone_idx=16 M0 iter=1 passed=False M0 iter=2 passed=True M1 iter=1 passed=True M2 iter=1 passed=True M3 iter=1 passed=True M4 iter=1 passed=True M5 iter=1 passed=True M6 iter=1 passed=True M7 iter=1 passed=True M8 iter=1 passed=True M9 iter=1 passed=True M10 iter=1 passed=True M11 iter=1 passed=True M12 iter=1 passed=True M13 iter=1 passed=True M14 iter=1 passed=True M15 iter=1 passed=False M15 iter=2 passed=True M16 iter=1 passed=True",/opt/codeweaver-gpt-sol-comparison/runs/full/crust__2dpartint/rep2,0,True
1,crust__42-kocaeli-printf,42-kocaeli-printf,crust,0,completed,True,0,1,2026-08-05T18:11:25.417025Z,2026-08-05T19:03:27.155172Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__42-kocaeli-printf/rep0,0,True
1,crust__42-kocaeli-printf,42-kocaeli-printf,crust,1,completed,True,0,1,2026-08-05T18:11:25.416690Z,2026-08-05T20:14:25.199676Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__42-kocaeli-printf/rep1,0,True
1,crust__42-kocaeli-printf,42-kocaeli-printf,crust,2,completed,True,0,1,2026-08-05T18:11:25.419085Z,2026-08-05T19:05:46.499067Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__42-kocaeli-printf/rep2,0,True
2,crust__aes128-simd,aes128-simd,crust,0,completed,True,0,1,2026-08-05T18:11:25.421831Z,2026-08-05T19:07:49.463041Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__aes128-simd/rep0,0,True
2,crust__aes128-simd,aes128-simd,crust,1,completed,True,0,1,2026-08-05T18:11:25.420836Z,2026-08-05T19:16:55.525887Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__aes128-simd/rep1,0,True
2,crust__aes128-simd,aes128-simd,crust,2,completed,True,0,1,2026-08-05T18:11:25.429649Z,2026-08-05T19:18:53.983314Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__aes128-simd/rep2,0,True
3,crust__amp,amp,crust,0,completed,True,0,1,2026-08-05T19:03:27.196584Z,2026-08-05T19:45:31.365737Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__amp/rep0,0,True
3,crust__amp,amp,crust,1,completed,True,0,1,2026-08-05T19:05:46.536195Z,2026-08-05T19:51:06.373423Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__amp/rep1,0,True
3,crust__amp,amp,crust,2,completed,True,0,1,2026-08-05T19:07:49.478856Z,2026-08-05T19:57:53.385752Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__amp/rep2,0,True
4,crust__approxidate,approxidate,crust,0,failed,True,1,1,2026-08-05T19:16:55.544780Z,2026-08-05T22:35:03.311451Z,,"[codeweaver] project=crust__approxidate app_id=full-crust__approxidate-rep0 mock=False db=/opt/codeweaver-gpt-sol-comparison/runs/full/crust__approxidate/rep0/pipeline/burr.db [codeweaver] loaded state at startup: milestone_idx=0 history_len=0 (idx>0 => resumed, not restarted) [codeweaver] finished at terminal: done, history, milestone_idx, report, parity_complete, parity_report -> {}: done=False milestone_idx=9 M0 iter=1 passed=False M0 iter=2 passed=True M1 iter=1 passed=True M2 iter=1 passed=True M3 iter=1 passed=True M4 iter=1 passed=True M5 iter=1 passed=True M6 iter=1 passed=True M7 iter=1 passed=True M8 iter=1 passed=True M9 iter=1 passed=True",/opt/codeweaver-gpt-sol-comparison/runs/full/crust__approxidate/rep0,0,True
4,crust__approxidate,approxidate,crust,1,failed,True,1,1,2026-08-05T19:18:53.989132Z,2026-08-05T23:12:23.339788Z,,"[codeweaver] project=crust__approxidate app_id=full-crust__approxidate-rep1 mock=False db=/opt/codeweaver-gpt-sol-comparison/runs/full/crust__approxidate/rep1/pipeline/burr.db [codeweaver] loaded state at startup: milestone_idx=0 history_len=0 (idx>0 => resumed, not restarted) [codeweaver] finished at terminal: done, history, milestone_idx, report, parity_complete, parity_report -> {}: done=False milestone_idx=10 M0 iter=1 passed=False M0 iter=2 passed=True M1 iter=1 passed=True M2 iter=1 passed=True M3 iter=1 passed=True M4 iter=1 passed=True M5 iter=1 passed=True M6 iter=1 passed=True M7 iter=1 passed=True M8 iter=1 passed=True M9 iter=1 passed=True M10 iter=1 passed=True",/opt/codeweaver-gpt-sol-comparison/runs/full/crust__approxidate/rep1,0,True
4,crust__approxidate,approxidate,crust,2,failed,True,1,1,2026-08-05T19:45:31.370510Z,2026-08-06T00:47:58.644275Z,,"/pipeline/burr.db [codeweaver] loaded state at startup: milestone_idx=0 history_len=0 (idx>0 => resumed, not restarted) [codeweaver] finished at terminal: done, history, milestone_idx, report, parity_complete, parity_report -> {}: done=False milestone_idx=15 M0 iter=1 passed=False M0 iter=2 passed=False M0 iter=3 passed=False M0 iter=4 passed=True M1 iter=1 passed=True M2 iter=1 passed=True M3 iter=1 passed=True M4 iter=1 passed=True M5 iter=1 passed=True M6 iter=1 passed=True M7 iter=1 passed=True M8 iter=1 passed=True M9 iter=1 passed=True M10 iter=1 passed=True M11 iter=1 passed=True M12 iter=1 passed=True M13 iter=1 passed=True M14 iter=1 passed=True M15 iter=1 passed=True",/opt/codeweaver-gpt-sol-comparison/runs/full/crust__approxidate/rep2,0,True
5,crust__avalanche,avalanche,crust,0,completed,True,0,1,2026-08-05T19:51:06.422947Z,2026-08-05T21:49:52.688325Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__avalanche/rep0,0,True
5,crust__avalanche,avalanche,crust,1,completed,True,0,1,2026-08-05T19:57:53.389452Z,2026-08-05T20:55:39.746613Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__avalanche/rep1,0,True
5,crust__avalanche,avalanche,crust,2,completed,True,0,1,2026-08-05T20:14:25.203140Z,2026-08-05T21:19:24.830921Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__avalanche/rep2,0,True
6,crust__bhshell,bhshell,crust,0,failed,True,1,1,2026-08-05T20:55:39.752009Z,2026-08-06T02:01:43.996908Z,,"terminal: done, history, milestone_idx, report, parity_complete, parity_report -> {}: done=False milestone_idx=22 M0 iter=1 passed=False M0 iter=2 passed=True M1 iter=1 passed=True M2 iter=1 passed=True M3 iter=1 passed=True M4 iter=1 passed=True M5 iter=1 passed=True M6 iter=1 passed=True M7 iter=1 passed=True M8 iter=1 passed=True M9 iter=1 passed=True M10 iter=1 passed=True M11 iter=1 passed=True M12 iter=1 passed=True M13 iter=1 passed=True M14 iter=1 passed=True M15 iter=1 passed=True M16 iter=1 passed=True M17 iter=1 passed=True M18 iter=1 passed=True M19 iter=1 passed=True M20 iter=1 passed=True M21 iter=1 passed=True M22 iter=1 passed=True",/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bhshell/rep0,0,True
